time_s,scan_period_s,conveyor_motor,motor_feedback,state,mode,fault_id
19.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
20.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
21.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
21.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
21.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
21.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
21.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
21.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
